Lang	Mean	STD
abk	0.9268	0.5736
ace	1.6532	2.6684
ach	1.0454	0.4542
acm	0.7745	0.2683
acu	1.5968	0.6599
ada	1.1205	0.6014
ady	1.1302	0.3274
aed	1.0903	0.5577
afb	0.7974	0.2107
afh	0.8677	0.1507
afr	1.0811	0.3575
agr	1.3313	0.4644
ain	0.5178	0.1473
aka	1.78	7.1951
ake	1.3222	0.7772
akl	1.3707	0.5239
aln	0.971	0.2912
alt	0.9222	0.4156
alz	1.1443	1.1409
amh	0.6709	0.2936
ami	1.3495	1.796
amu	1.591	0.4814
ang	1.7399	1.4307
aoz	1.0332	0.4779
apc	0.7703	0.2843
ara	0.8966	1.0785
arc	0.3952	0.3548
arg	1.2583	0.4113
arn	1.1217	0.4972
arq	0.8313	0.2223
ary	0.7992	0.3982
arz	0.7783	0.2119
ase	1.0004	0.0283
asf	1.0001	0.0566
asm	0.716	0.3945
ast	1.262	0.8818
atj	1.0715	0.048
avk	0.9209	0.3105
awa	0.9013	0.2419
aym	1.099	0.6422
aze	1.1435	0.6769
bak	0.963	0.6062
bal	1.0417	0.2619
bam	1.0762	0.2973
bar	1.1083	0.3323
bas	1.0915	0.8998
bbc	1.0495	0.5553
bci	1.1003	0.5413
bcl	1.2317	0.295
bel	0.9901	0.25
bem	1.1125	0.3755
ben	1.0146	1.2781
bfi	0.9975	0.0316
bho	0.9483	0.2121
bhw	1.0566	0.341
bin	1.1967	1.0157
bis	1.2433	0.5479
bod	1.3547	0.7939
bos	0.9645	0.8526
bpy	0.9564	0.0557
bre	1.1703	0.8477
brx	1.0215	0.2452
bsn	2.0224	1.0538
bts	1.0701	0.3756
btx	1.0235	0.3076
bua	1.2859	0.4968
bug	1.0	0.0
bul	0.951	0.2163
bum	1.0226	0.5309
bvl	1.0772	0.5277
bvy	1.0153	0.2309
bxr	0.9086	0.2078
byn	1.0	0.0
bzj	1.0196	0.3282
bzs	1.034	0.2978
cab	1.2136	0.6583
cak	1.4602	0.9507
cat	1.0743	1.3568
cbk	1.1263	0.259
cce	1.1455	0.3629
cdo	0.514	0.486
ceb	1.2051	0.2827
ces	1.0024	0.2717
cha	1.028	0.1789
che	1.0596	0.3076
chk	1.1119	0.4873
cho	1.1362	0.3524
chq	2.1189	0.6762
chr	0.6831	0.1449
chv	0.9667	0.4741
chw	1.0698	0.2948
chy	0.866	0.3479
cjk	1.1707	0.6513
cjp	1.1521	0.2417
cjy	0.4438	0.0224
ckb	1.3873	1.974
ckt	0.85	0.2032
cmn	0.3241	0.0825
cnh	1.1383	0.3693
cni	1.587	0.7226
cop	0.8638	0.164
cor	1.1047	0.2452
cos	1.0254	0.2435
crh	1.1913	0.6538
crs	1.0314	0.3158
csb	1.21	1.4023
cse	0.9173	0.3087
csf	1.0716	0.5131
csg	1.0774	0.5599
csl	0.8673	0.6886
csn	1.0967	0.5339
csr	1.0921	0.5908
ctu	1.242	0.8846
cym	1.102	0.346
dan	1.299	3.1844
deu	1.0683	0.7358
dhv	1.316	0.4697
dik	0.9505	0.203
din	1.0632	0.794
diq	1.0608	3.0542
div	1.8809	1.504
dje	0.9819	0.21
djk	1.1863	0.4725
dng	0.9228	0.1718
dop	1.1546	0.2982
dsb	0.9085	0.222
dtp	1.1949	0.3298
dty	1.0396	0.2585
dua	1.0927	0.2696
dws	0.5651	0.1428
dyu	1.1306	1.1555
dzo	1.4252	0.5142
ecs	1.0795	0.5573
efi	1.0388	0.3868
egl	0.943	0.2207
ell	1.3733	3.5853
epo	1.0241	0.2042
esn	1.0908	0.5758
est	1.3548	3.5398
eus	1.0702	0.9039
ewe	1.0415	0.3135
ext	0.8656	0.2232
fao	1.0426	0.6012
fas	0.9968	1.1144
fcs	1.1227	0.4152
fij	1.1558	0.5443
fil	1.1462	0.3333
fin	1.3197	3.2661
fkv	1.0686	0.2748
fon	1.1171	0.398
fra	1.2791	4.9968
frm	1.0237	0.1432
frp	1.72	2.0428
fry	1.234	1.0091
fse	1.0517	0.3222
fsl	1.1227	0.4626
fuc	1.2535	0.2795
ful	1.8214	0.8214
fur	1.2085	0.7462
fuv	0.9314	0.4252
gaa	1.089	0.3844
gan	0.3672	0.02
gbi	1.8535	1.3691
gbm	1.1279	0.304
gcf	0.9999	0.2587
gil	1.2217	0.7075
gla	1.1405	0.3257
gle	1.1931	1.8638
glg	1.0092	0.7986
glk	0.9504	0.773
glv	1.2677	0.6402
gom	1.3196	5.0824
gor	1.0785	0.6387
gos	1.0536	0.2437
got	0.9645	0.3703
grc	0.9026	0.2441
grn	1.1337	0.5826
gsg	1.0434	0.3397
gsm	1.0845	0.5176
gss	1.1409	0.5331
gsw	1.0523	0.2751
guc	1.2213	0.7606
gug	1.0665	0.5749
guj	0.7084	0.3143
guw	1.0953	0.3457
gym	1.2394	0.6738
hak	0.3098	0.0436
hat	1.0816	0.539
hau	1.0692	0.4677
haw	1.0327	0.2441
hds	1.1062	0.6038
heb	0.8501	0.8502
her	1.1902	0.4862
hif	0.9657	0.2417
hil	1.2023	0.2944
hin	1.0723	1.7116
hmn	1.2203	0.5156
hmo	1.1943	0.515
hne	1.7535	2.9469
hnj	1.291	0.2265
hoc	1.0346	0.3066
hrv	1.7905	4.9114
hrx	1.1703	0.253
hsb	0.9144	0.2042
hsh	1.0414	0.3854
hsn	0.3825	0.0436
hun	1.4579	3.9507
hye	0.8856	0.5295
iba	1.1163	0.3018
ibg	1.1281	0.4321
ibo	1.127	0.594
ido	1.352	1.5609
ike	0.9688	0.3641
iku	0.7811	0.3
ile	1.027	0.2722
ilo	1.177	0.3122
ina	1.3677	0.9682
ind	1.7817	3.464
inl	1.0625	0.4651
ins	0.9993	0.01
ipk	1.0	0.0
ise	1.0874	0.2742
ish	1.1407	0.4616
isl	1.0419	0.251
iso	1.0207	0.466
ita	0.9874	0.432
izh	1.1567	0.0906
jak	1.5326	0.4398
jam	0.9108	0.1884
jav	1.0463	0.4721
jbo	1.0559	0.3885
jdt	0.8438	0.1562
jiv	1.1984	0.4574
jpn	0.3801	0.3332
jsl	1.0706	0.5898
kab	1.0635	0.289
kac	1.322	0.4175
kal	1.2439	0.7351
kam	1.1072	0.6728
kan	0.7903	0.3534
kas	1.0872	0.5287
kat	0.8631	0.5627
kau	0.5408	0.2746
kaz	1.0076	0.5217
kbh	2.2717	7.9374
kbp	1.1383	0.7529
kea	1.0503	0.6006
kek	1.392	0.5843
kha	1.0704	0.2787
khm	0.631	0.4563
kik	1.1004	0.3455
kin	1.1719	0.6641
kir	0.9621	0.424
kjh	1.2335	0.3373
kmb	1.1604	0.3952
kmr	1.0373	0.8518
koi	0.8781	0.2755
kok	0.4043	0.2173
kom	1.073	0.0728
kon	1.2178	0.5325
koo	1.1638	0.8224
kor	0.7913	0.5193
kpv	0.8605	0.3734
kqn	1.1189	0.4636
kri	1.0934	0.5756
krl	1.246	0.3454
ksh	1.4572	2.731
kss	1.1341	0.4823
ksw	1.0563	0.4355
kua	1.2237	0.4327
kum	1.0044	0.2924
kur	1.6512	1.4357
kvk	0.9121	0.9983
kwn	1.0583	0.373
kwy	1.0477	0.4467
lad	1.0449	0.3348
lam	1.1931	0.835
lao	1.2685	0.5837
lat	0.898	0.4443
lav	1.3227	3.3662
lbe	0.9603	0.0346
ldn	1.3508	0.4999
lez	1.1096	0.21
lfn	1.0262	0.2059
lij	0.9814	0.2062
lim	1.2697	0.9379
lin	1.1657	0.4069
lit	1.3918	3.6347
liv	0.9872	0.2548
lkt	1.1021	0.2939
lld	0.9289	0.1691
lmo	1.0621	0.2939
loz	1.1484	0.3908
lrc	0.8467	0.1095
lsp	1.1	0.5666
ltz	1.0536	0.2683
lua	1.1734	0.4573
lub	1.1134	0.6787
lue	1.1603	0.5543
lug	1.1004	0.532
lun	1.0893	0.5042
luo	1.0478	0.508
lus	1.1776	0.5107
lzh	0.2472	0.1697
mad	1.2686	0.3285
mah	1.1657	0.8212
mai	1.1568	1.1501
mal	1.0306	1.0281
mam	1.3196	0.706
mar	0.8102	0.3464
mau	1.1552	0.6917
max	1.2845	0.3381
mco	1.15	0.6199
mdf	1.0187	0.2152
men	1.171	0.3738
mfe	1.1295	0.3696
mfs	1.1004	0.5242
mgm	0.9666	0.1926
mgr	1.1579	0.7451
mhr	0.9216	0.2193
mic	0.8786	0.1072
min	1.0755	1.5206
miq	1.5337	1.8068
mkd	1.0414	0.202
mlg	1.2017	0.3987
mlt	1.4865	3.9098
mni	0.9615	0.2159
mnw	0.9035	0.1855
mon	0.9036	0.532
mos	1.0906	0.5601
mri	1.1388	0.7393
mrj	0.9752	0.0412
msa	1.1575	0.7364
mvv	1.1235	0.3273
mwl	0.9973	0.1407
mww	1.282	0.3486
mxv	1.1941	0.8174
mya	0.6431	0.3565
myv	1.0452	0.348
mzn	0.9475	1.2816
mzy	1.044	0.6231
nan	0.8378	0.364
nap	1.1062	0.4826
nau	0.9509	0.1764
nav	1.1066	0.3632
nba	1.1987	0.4585
nch	1.201	0.7028
ncj	1.1971	0.579
ncs	1.0847	0.5179
ncx	1.1293	0.5589
ndc	1.1608	0.3696
ndo	1.2131	0.4573
nds	1.3058	0.9767
nep	0.767	0.3632
new	0.9393	0.259
ngl	1.1435	0.4818
ngt	1.0445	0.2066
ngu	1.252	0.6869
nhg	1.5424	0.4463
nhn	1.5951	0.551
nia	1.099	0.5986
nij	1.0755	0.3156
niu	1.2279	0.448
nld	1.3496	3.4723
nlv	1.0938	0.2149
nno	1.1597	1.0051
nog	0.9374	0.2263
non	1.0693	0.264
nor	0.9846	0.8555
nov	1.0424	0.2025
npi	1.0348	0.3288
nso	1.2112	0.3491
nst	1.5046	0.454
nya	1.1606	0.3937
nyk	1.1255	0.8802
nyn	1.1286	0.3797
nyu	1.2828	0.4041
nzi	1.0538	0.3938
oar	1.1171	0.4027
oci	1.011	0.3072
ojb	0.8715	0.2385
oji	2.266	2.0572
oke	1.0726	0.3216
ori	0.9877	0.2683
orm	1.2416	0.452
orv	0.9061	0.2456
oss	0.9731	0.4056
ota	1.0127	0.2757
pag	1.1359	0.3589
pam	1.0359	0.2713
pan	0.8069	0.3748
pap	1.0684	0.3046
pau	1.1624	0.4853
pck	1.0103	0.3209
pcm	1.0876	0.3812
pdc	1.0958	0.267
pdt	1.1382	0.5623
pes	0.837	0.259
pfl	1.0112	0.0245
pih	0.9692	0.0812
pis	1.1411	0.4357
plt	1.1935	0.4141
pms	1.1944	0.9887
pmy	3.785	8.6702
pnb	1.0008	0.2665
pnt	1.0657	0.0794
pol	1.455	3.856
pon	1.1768	0.576
por	1.0912	0.5771
pot	1.0646	0.1857
ppk	1.4404	0.6102
ppl	0.956	0.1616
prg	1.1489	0.2567
prl	1.0845	0.5863
pso	1.0084	0.415
psp	0.9983	0.01
psr	1.0638	0.5787
pus	1.053	0.9214
pys	1.0809	0.5089
quc	1.5614	0.4402
que	1.1033	0.6302
qug	1.1676	0.6819
quw	1.0734	0.2394
quy	1.109	0.5305
quz	1.0899	0.5701
qvi	1.195	0.7277
qya	0.8809	0.346
rap	1.3217	0.6298
rar	1.2388	0.4374
rif	0.9206	0.2872
rmn	1.1167	0.3187
rms	1.0978	0.3421
rmy	1.033	0.0843
rnd	1.1441	0.5489
roh	0.928	0.1918
rom	1.0933	0.2757
ron	0.9327	0.1865
rsl	0.948	0.3103
rue	0.8085	0.2651
run	1.1402	0.3169
rus	1.1223	0.345
sag	1.1835	0.4045
sah	0.9967	0.3159
san	1.005	0.3308
sat	0.9497	0.523
scn	1.023	0.0794
sco	0.9761	0.1389
seh	1.1687	0.4188
sfs	0.9998	0.0
sgs	0.8732	0.2126
shi	0.99	0.25
shn	2.1554	3.8248
shs	1.2017	0.3552
sid	1.1628	0.4337
sin	0.9683	1.1603
sjn	0.9636	0.4098
slk	1.3096	3.2117
slv	1.3031	3.2464
sma	1.3238	0.3997
sme	1.0251	0.3017
sml	1.9305	2.9899
smo	1.175	0.4104
sna	1.0734	0.2993
snd	0.9363	0.8571
som	1.0663	0.3775
sop	1.2336	0.8495
spa	1.021	0.5127
sqi	1.0495	0.2886
srd	1.385	1.9597
srm	1.2003	0.4159
srn	1.1541	0.4083
srp	0.9587	0.8066
ssp	1.0741	0.4916
ssw	1.1199	0.4394
sun	1.0825	2.867
sux	0.6168	0.3295
svk	0.9688	0.3276
swa	1.0699	0.3225
swc	1.0915	0.3415
swe	1.3072	3.1821
swg	1.0862	0.2702
swh	0.9153	0.2452
sxn	1.1102	0.3385
syr	0.6198	0.1459
szl	1.0319	0.383
tah	1.2475	0.3881
tam	0.9153	0.9514
tat	1.1375	0.8345
tcf	1.1593	0.8049
tcy	2.2936	13.3002
tdt	1.2634	1.2314
tel	0.8971	1.8929
tet	1.084	0.3711
tgk	0.9517	0.3578
tgl	1.2298	0.3245
tha	0.9763	0.8205
tir	0.6808	0.2939
tiv	1.1683	0.4046
tlh	0.7937	0.2672
tll	1.1203	0.5159
tly	0.8693	0.2988
tmh	1.0151	0.3285
tmw	0.9136	0.1034
tog	1.1587	0.7909
toh	1.2623	0.3504
toi	1.1173	0.3222
toj	1.2344	0.7388
ton	1.3794	0.5252
top	1.1596	0.6193
tpi	1.2348	0.5239
tpw	1.0148	0.4161
trv	1.0814	1.1372
tsc	1.2087	0.3667
tsn	1.2605	1.4973
tso	1.2428	0.3216
tss	0.9036	0.6519
tsz	1.2627	0.9119
ttj	1.1866	0.3551
tuk	1.007	0.5389
tum	1.0885	0.3818
tur	1.0504	0.9018
tvl	1.2892	0.6235
twi	1.0031	0.2876
tyv	0.9956	0.5662
tzh	1.479	1.1778
tzl	1.0358	0.305
tzo	1.2711	0.691
udm	0.9739	0.4077
uig	1.4316	0.8701
ukr	0.9789	0.8658
umb	1.138	0.4796
urd	0.9744	1.0453
urh	1.0638	0.8049
usp	1.5496	0.4781
uzb	1.5407	2.3094
vec	1.6164	2.1732
ven	1.2256	0.4246
vie	1.1182	0.9357
vmw	1.1489	0.375
vol	0.9243	0.2309
vro	0.8557	0.2377
vsl	1.0852	0.5478
wae	1.5518	2.2574
wal	1.1374	0.6153
war	1.2226	0.36
wes	1.1285	0.3648
wln	1.2767	1.1682
wls	1.3237	0.6049
wol	0.9236	0.2133
wuu	0.4006	0.4426
xal	0.8968	0.2124
xho	1.1214	0.5036
xmf	0.8219	0.428
yao	1.1767	0.5297
yap	1.2688	0.458
yid	1.255	1.2214
yor	1.117	0.4624
yua	1.2539	0.6275
yue	0.3612	0.1808
zai	1.1791	0.8637
zha	0.9084	0.1562
zho	0.3417	0.4773
zib	1.0011	0.0387
zlm	1.0655	0.4546
zne	1.211	0.445
zpa	1.0662	0.3813
zsl	1.0074	0.0624
zsm	1.1688	0.2581
zul	1.1063	0.3326
zza	0.9264	0.2177
